time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.16917
0,1.875,0.17401
0,3.75,0.17809
0,5.625,0.18034
0,7.5,0.18305
0,9.375,0.1796
0,11.25,0.17504
0,13.125,0.17319
0,15,0.17067
0,16.875,0.17189
0,18.75,0.17177
0,20.625,0.17224
0,22.5,0.17449
0,24.375,0.17721
0,26.25,0.17825
0,28.125,0.18075
0,30,0.18024
0,31.875,0.17784
0,33.75,0.1754
0,35.625,0.17306
0,37.5,0.17233
0,39.375,0.17237
0,41.25,0.17459
0,43.125,0.17518
0,45,0.17814
0,46.875,0.17801
0,48.75,0.17697
0,50.625,0.17411
0,52.5,0.1711
0,54.375,0.16933
0,56.25,0.17115
0,58.125,0.17213
0,60,0.17319
0,61.875,0.17508
0,63.75,0.1747
0,65.625,0.17518
0,67.5,0.17609
0,69.375,0.17621
0,71.25,0.17888
0,73.125,0.18096
0,75,0.1817
