time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.29865
0,1.875,0.27783
0,3.75,0.28394
0,5.625,0.28249
0,7.5,0.29899
0,9.375,0.29676
0,11.25,0.36037
0,13.125,0.45011
0,15,0.60885
0,16.875,0.80599
0,18.75,0.99727
0,20.625,1.1463
