time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.1632
0,1.875,0.19344
0,3.75,0.194
0,5.625,0.14829
0,7.5,0.18092
0,9.375,0.19337
0,11.25,0.1954
0,13.125,0.18336
0,15,0.19587
0,16.875,0.21699
0,18.75,0.21952
0,20.625,0.19664
0,22.5,0.1814
0,24.375,0.17174
0,26.25,0.16813
0,28.125,0.16991
0,30,0.16264
0,31.875,0.15702
0,33.75,0.1675
0,35.625,0.18547
0,37.5,0.18907
0,39.375,0.17216
0,41.25,0.16327
0,43.125,0.1749
0,45,0.17512
0,46.875,0.19268
0,48.75,0.25634
0,50.625,0.32194
0,52.5,0.40582
0,54.375,0.54496
0,56.25,0.68509
0,58.125,0.87468
0,60,1.01188
