time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.13865
0,1.875,0.11783
0,3.75,0.12394
0,5.625,0.12249
0,7.5,0.13899
0,9.375,0.13676
0,11.25,0.20037
0,13.125,0.29011
0,15,0.44885
0,16.875,0.64599
0,18.75,0.83727
0,20.625,0.9863
