time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.14917
0,1.875,0.15401
0,3.75,0.15809
0,5.625,0.16034
0,7.5,0.16305
0,9.375,0.1596
0,11.25,0.15504
0,13.125,0.15319
0,15,0.15067
0,16.875,0.15189
0,18.75,0.15177
0,20.625,0.15224
0,22.5,0.15449
0,24.375,0.15721
0,26.25,0.15825
0,28.125,0.16075
0,30,0.16024
0,31.875,0.15784
0,33.75,0.1554
0,35.625,0.15306
0,37.5,0.15233
0,39.375,0.15237
0,41.25,0.15459
0,43.125,0.15518
0,45,0.15814
0,46.875,0.15801
0,48.75,0.15697
0,50.625,0.15411
0,52.5,0.1511
0,54.375,0.14933
0,56.25,0.15115
0,58.125,0.15213
0,60,0.15319
0,61.875,0.15508
0,63.75,0.1547
0,65.625,0.15518
0,67.5,0.15609
0,69.375,0.15621
0,71.25,0.15888
0,73.125,0.16096
0,75,0.1617
