time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.1832
0,1.875,0.21344
0,3.75,0.214
0,5.625,0.16829
0,7.5,0.20092
0,9.375,0.21337
0,11.25,0.2154
0,13.125,0.20336
0,15,0.21587
0,16.875,0.23699
0,18.75,0.23952
0,20.625,0.21664
0,22.5,0.2014
0,24.375,0.19174
0,26.25,0.18813
0,28.125,0.18991
0,30,0.18264
0,31.875,0.17702
0,33.75,0.1875
0,35.625,0.20547
0,37.5,0.20907
0,39.375,0.19216
0,41.25,0.18327
0,43.125,0.1949
0,45,0.19512
0,46.875,0.21268
0,48.75,0.27634
0,50.625,0.34194
0,52.5,0.42582
0,54.375,0.56496
0,56.25,0.70509
0,58.125,0.89468
0,60,1.03188
