time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.21865
0,1.875,0.19783
0,3.75,0.20394
0,5.625,0.20249
0,7.5,0.21899
0,9.375,0.21676
0,11.25,0.28037
0,13.125,0.37011
0,15,0.52885
0,16.875,0.72599
0,18.75,0.91727
0,20.625,1.0663
