timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
1964.184,0.6287504277575521,-0.04177751818826756,0.4871740415302832,3.075573005642249,-0.5787588389397589,0.09071680375859055
1964.232,0.6287525403394629,-0.04178053814301968,0.487182008429349,3.075550729244611,-0.5787367600405793,0.09072896025658245
1964.28,0.6287472739990115,-0.04177928152361278,0.487184838253449,3.075618474669048,-0.5787834953497575,0.09070996235590567
1964.328,0.6287414863468721,-0.04180516609195528,0.48717688927745384,3.07555911079256,-0.5788516723137086,0.0906789074543521
1964.376,0.6287564635774024,-0.041777322594408875,0.4871549109190417,3.075611016088808,-0.5787452543226701,0.0906294158871952
1964.424,0.6287538091585889,-0.04178398230098719,0.4871686588250028,3.0755986227754164,-0.5788004127981914,0.09064791800861109
1964.472,0.6287457592612942,-0.041790035482952945,0.48718126631207104,3.075571452784644,-0.5788157034537261,0.0907381470659873
1964.52,0.6287455377149407,-0.041772224695512214,0.4871783210567413,3.0756169202356576,-0.578726285198396,0.09070676012055696
1964.568,0.6287503283013248,-0.041782687562762565,0.4871942460040293,3.075587110452646,-0.5787986494603915,0.09074062266088655
1964.616,0.6287583989120492,-0.04179311849766154,0.487214548220924,3.0755783950571938,-0.5787778269593208,0.09083306339955549
1964.664,0.6287460757601051,-0.04177583278833585,0.4872014796901293,3.0755622331872905,-0.578795100966531,0.09075306772812278
1964.712,0.628760072033678,-0.04177052577553201,0.48720149933851253,3.0755982461703697,-0.5787423974729845,0.09074078545480574
1964.76,0.6287398166624164,-0.04177256221418292,0.4871841139712414,3.0755962915861423,-0.5787043770761544,0.09070034984252975
1964.808,0.6287410080072278,-0.04177828460104262,0.48718554873651115,3.075601200381578,-0.5788007840364072,0.09072536261347111
1964.856,0.628737932464571,-0.04177719382922449,0.487194217181619,3.0755965825007143,-0.5788001288556133,0.09076213945875004
1964.904,0.628761964699998,-0.04179800475438985,0.48717372302794365,3.075550258102706,-0.5788315129721683,0.09069394363274332
1964.952,0.6287470225778513,-0.041783965901223644,0.4871696615584431,3.0755728902983934,-0.5787969287341853,0.09066086520449733
1965.0,0.628767400207898,-0.04177417844107198,0.48722062450704684,3.0755776415039056,-0.5787394289118698,0.09081208387309402
1965.048,0.628759648089861,-0.041779502779218096,0.4871809449860087,3.0755818049555894,-0.5787794017839794,0.09071857668821519
1965.096,0.6287409772103669,-0.04178838832085013,0.48717036619591725,3.0755782732762036,-0.5788166035185986,0.09068219044674682
1965.144,0.6287460757601051,-0.04177583278833585,0.4872014796901293,3.0755591198380046,-0.5788134960817527,0.09075317774535582
1965.192,0.6287507570952887,-0.04177761866617598,0.4871607039334215,3.075587738543728,-0.5787418053565371,0.09062323927310317
1965.24,0.6287558439337475,-0.04180224794607973,0.4871817049959651,3.0755680225766953,-0.5788332825132501,0.09064157688822932
1965.288,0.6287365105939207,-0.04177384046988666,0.4871595298062187,3.0755726067194713,-0.578758577032831,0.09062092675208167
1965.336,0.6287482585746335,-0.04176645633093935,0.4872029145835109,3.0755870280019213,-0.578779487269361,0.09077773098668616
1965.384,0.6287631347140362,-0.041793575283994994,0.4871939792437804,3.0756044306086245,-0.5787813070566395,0.09072443271899223
1965.432,0.6287433860436914,-0.04179693111984276,0.48717474620462986,3.075573928873901,-0.578796655035963,0.09073779935787787
1965.48,0.6287379467309517,-0.04175866204900403,0.4871978677275274,3.0755626631866155,-0.5787570379191129,0.09071336968118497
1965.528,0.6287538378469891,-0.04177525594636951,0.4871599955504804,3.0756073898861787,-0.5787835606798863,0.09070714136155239
1965.576,0.6287476076520505,-0.0417610752833376,0.48716458224235853,3.0755883136899906,-0.5787042136035844,0.09067936166324056
1965.624,0.6287684913488071,-0.0417890858072988,0.4871715654536117,3.0755966722014687,-0.5788001675123619,0.09066640370065276
1965.6719999999998,0.6287618823812698,-0.041779064356294256,0.4871874621553923,3.0755903830760563,-0.5787992117767922,0.090721774460996
1965.7199999999998,0.6287508712912286,-0.04179404279866945,0.4871841455514994,3.0755554064089172,-0.5788129274031237,0.09067611029695419
1965.7679999999998,0.6287546934767523,-0.041772300103082645,0.48717010850168707,3.075566076567663,-0.5787768051151188,0.09065742982825457
1965.8159999999998,0.6287454510882233,-0.041760239642669915,0.4871783300574236,3.0755829447702814,-0.5787219723475674,0.09069785951118746
1965.8639999999998,0.628755214962712,-0.04178335087525571,0.48716651561017427,3.0755974651555618,-0.5788384108149229,0.09070726458073428
1965.9119999999998,0.6287595093516265,-0.04178596025224505,0.4871809420253611,3.075583394248549,-0.578836084867624,0.09072176086834692
1965.9599999999998,0.6287416915338552,-0.04177316168989755,0.4871906341255984,3.075593267361024,-0.5787225631060252,0.09070047330202867
1966.0079999999998,0.6287483491763753,-0.041807545779040646,0.4871776224336955,3.0755656238459075,-0.5788141373444073,0.09067872475995915
1966.0559999999998,0.6287454389378994,-0.041789785332515386,0.4872014767160568,3.075569376142519,-0.5788148665592938,0.09075581241044865
1966.1039999999998,0.6287433876266637,-0.04179555343458482,0.48719859213448863,3.075578624443088,-0.5788536089853991,0.09072208249591358
1966.1519999999998,0.6287406520179939,-0.041808426320776915,0.48716026897574116,3.075524875590741,-0.5788846784324094,0.09061471209027101
1966.1999999999998,0.628739302171805,-0.04179011954445291,0.48716893138943507,3.075551112770663,-0.5788503718979221,0.09065785933532536
1966.2479999999998,0.6287389474155228,-0.041756822517818364,0.48717759384034565,3.075597499620503,-0.5787052099453691,0.09070078227985473
