time_elapsed_(s),x_force_(N),y_force_(N),z_force_(N),delta_t_(s)_x,x_position_(mm),y_position_(mm),z_position_(mm),delta_t_(s)_y,delta_x_(m),speed_x_(mm_s^-1),delta_y_(m),speed_y_(mm_s^-1),delta_z_(m),speed_z_(mm_s^-1),sliding_distance_(mm),coefficient_of_friction
0.0,,,,,693.5714463322423,170.67940000118054,285.389628492641,0.047999999999774445,-0.0007334160116531097,15.279500242844918,-9.513942240441109e-06,0.19820713001012116,2.2352894660182532e-05,0.4656853054226577,0.0,0.14170377813619153
2.2737367544323206e-13,0.37373793125153004,-1.0975608825684,7.7454595565796,0.0019999999999527063,693.3711675600268,,,,,16.905391290174393,,0.16726923409227928,,0.5484903445759003,3.8438409524529545e-12,0.14170377813619153
0.004000000000132786,0.36768820881844,-1.0762875080109,7.5300149917603,0.0039999999999054126,693.1708887878112,,,,,18.531282337503868,,0.1363313381744374,,0.6312953837291428,0.07412512935210648,0.14293298342548122
0.008000000000265572,0.36131054162979,-1.0538733005524001,7.2962398529053,0.004000000000132786,692.9706100155958,,,,,20.157173384833342,,0.10539344225659553,,0.7141004228823854,0.15475382289411643,0.144440605270502
0.0420000000001437,0.30715009570122,-0.83576840162277,5.3506855964661,0.03399999999987813,692.7703312433803,,,,,21.783064432162817,,0.07445554633875365,,0.796905462035628,0.8953780135849975,0.1561983761809439
0.046000000000276486,0.30389913916588,-0.81652688980103,5.2250552177429,0.004000000000132786,692.5700524711647,,,,,23.408955479492292,,0.04351765042091177,,0.8797105011888705,0.989013835506075,0.1562714374822914
0.04800000000022919,0.30291438102721996,-0.80797034502029,5.178658485412599,0.0019999999999527063,692.3697736989492,170.6800038293967,285.3434277467043,0.04800000000022919,-0.0012016726332931826,25.034846526821767,6.038282161502373e-07,0.012579754503069878,-4.620074593664203e-05,0.9625155403421131,1.0390835285585345,0.1560192368923738
0.0500000000001819,0.30189520120621005,-0.800173163414,5.1425442695617996,0.0019999999999527063,692.2166755798071,,,,,25.948495536828172,,0.13459795076330555,,1.0544066694738154,1.0909805196309637,0.15559869229520185
0.05400000000008731,0.30147442221642,-0.78826582431793,5.1005101203917995,0.0039999999999054126,692.063577460665,,,,,26.86214454683458,,0.2566161470235412,,1.146297798605518,1.1984290978157612,0.15454646804178457
0.0580000000002201,0.30157026648521,-0.7797709107399,5.1064848899841,0.004000000000132786,691.9104793415229,,,,,27.775793556840984,,0.3786343432837768,,1.2381889277372204,1.3095322720468134,0.15270208911600794
0.07200000000011642,0.31252831220627003,-0.7851328849792499,5.457767009735099,0.013999999999896318,691.7573812223808,,,,,28.68944256684739,,0.5006525395440126,,1.330080056868923,1.7111844679797024,0.14385606486660146
0.07400000000006912,0.31600648164749,-0.7917087078094499,5.5455513000488,0.0019999999999527063,691.6042831032387,,,,,29.6030915768538,,0.6226707358042483,,1.4219711860006254,1.77039065113201,0.14276465313781933
0.07800000000020191,0.32222741842270003,-0.8025574684143101,5.7478256225586,0.004000000000132786,691.4511849840967,,,,,30.5167405868602,,0.7446889320644838,,1.5138623151323278,1.892457613483503,0.13962801259392726
0.08000000000015461,0.32566231489182,-0.80992901325226,5.8561859130859,0.0019999999999527063,691.2980868649546,,,,,31.43038959686661,,0.8667071283247195,,1.6057534442640304,1.9553183926757498,0.13830315930415368
0.08400000000006003,0.33318400382996,-0.8278653025627098,6.095622062683099,0.0039999999999054126,691.1449887458125,,,,,32.34403860687301,,0.9887253245849552,,1.6976445733957328,2.0846945471001823,0.13581309570205044
0.0860000000002401,0.33717894554137995,-0.83773505687714,6.2187256813049006,0.00200000000018008,690.9918906266704,,,,,33.25768761687942,,1.1107435208451908,,1.7895357025274352,2.1512099223399304,0.13471169172095634
0.09400000000005093,0.35400894284247997,-0.8790122866630601,6.732495307922401,0.007999999999810825,690.8387925075283,,,,,34.17133662688583,,1.2327617171054266,,1.8814268316591378,2.4245806153485527,0.13056262893027057
0.09600000000000364,0.357799500226975,-0.88973724842072,6.8588263988495,,690.6856943883862,170.61497439355543,285.4381470088219,0.047999999999774445,-0.0016840793105629137,35.084985636892235,-6.502943584124621e-05,1.3547799133656622,9.471926211751525e-05,1.9733179607908402,2.494750586620678,0.1297367123209665
0.09800000000018372,0.36159005761147,-0.90046221017838,6.9851574897766,0.004000000000132786,690.5441108903048,,,,,35.97081916240027,,1.3438289345910628,,1.8944082377858162,2.5666922249519564,0.12891079571166245
0.10200000000008913,0.36966812610626004,-0.9223181605339101,7.220234870910599,0.0039999999999054126,690.4025273922232,,,,,36.856652687908294,,1.3328779558164632,,1.815498514780792,2.7141188357001034,0.12774074209826772
0.10400000000026921,0.37350314855576,-0.93291503190994,7.3315443992614995,0.00200000000018008,690.2609438941417,,,,,37.74248621341633,,1.3219269770418638,,1.736588791775768,2.789603808133733,0.12724672744311713
0.10600000000022192,0.37701117992401006,-0.94236886501312,7.4389100074767995,0.0019999999999527063,690.1193603960602,,,,,38.628319738924354,,1.3109759982672642,,1.657679068770744,2.8668604476097546,0.12668104118290868
0.11000000000012733,0.3832296729087801,-0.96093791723251,7.624316692352299,0.0039999999999054126,689.9777768979787,,,,,39.51415326443239,,1.3000250194926648,,1.57876934576572,3.0249170606637468,0.12603593948247127
0.11200000000008004,0.38654693961143,-0.96903252601624,7.705162048339799,0.0019999999999527063,689.8361933998972,,,,,40.399986789940414,,1.2890740407180652,,1.4998596227606957,3.105717034241717,0.12576406828783485
