time_elapsed_(s),sliding_distance_(mm),coefficient_of_friction
0,0,0.17835
0,1.875,0.2072
0,3.75,0.19456
0,5.625,0.21756
0,7.5,0.20635
0,9.375,0.21676
0,11.25,0.21038
0,13.125,0.2089
0,15,0.19638
0,16.875,0.18653
0,18.75,0.19151
0,20.625,0.20726
0,22.5,0.21363
0,24.375,0.19902
0,26.25,0.18964
0,28.125,0.17111
0,30,0.23904
0,31.875,0.32859
0,33.75,0.41852
0,35.625,0.54227
0,37.5,0.78339
0,39.375,1.01689
