time_elapsed_(s),coefficient_of_friction,sliding_distance_(mm),standard_deviations
0,0.15917,0.0,0.010000000000000009
0,0.16401,1.875,0.010000000000000009
0,0.16809,3.75,0.009999999999999995
0,0.17034000000000002,5.625,0.009999999999999995
0,0.17305,7.5,0.009999999999999995
0,0.1696,9.375,0.010000000000000009
0,0.16504000000000002,11.25,0.009999999999999995
0,0.16319000000000003,13.125,0.009999999999999995
0,0.16067,15.0,0.010000000000000009
0,0.16189,16.875,0.010000000000000009
0,0.16177,18.75,0.009999999999999995
0,0.16224000000000002,20.625,0.009999999999999995
0,0.16449,22.5,0.009999999999999995
0,0.16720999999999997,24.375,0.009999999999999995
0,0.16825,26.25,0.009999999999999995
0,0.17075000000000004,28.125,0.009999999999999995
0,0.17024000000000003,30.0,0.009999999999999995
0,0.16784,31.875,0.009999999999999995
0,0.1654,33.75,0.009999999999999995
0,0.16305999999999998,35.625,0.009999999999999995
0,0.16232999999999997,37.5,0.009999999999999995
0,0.16237000000000001,39.375,0.009999999999999995
0,0.16459000000000001,41.25,0.010000000000000009
0,0.16518,43.125,0.010000000000000009
0,0.16814000000000004,45.0,0.010000000000000009
0,0.16801,46.875,0.010000000000000009
0,0.16696999999999998,48.75,0.010000000000000009
0,0.16410999999999998,50.625,0.009999999999999995
0,0.1611,52.5,0.009999999999999995
0,0.15933,54.375,0.010000000000000009
0,0.16115,56.25,0.009999999999999995
0,0.16213,58.125,0.010000000000000009
0,0.16319000000000003,60.0,0.009999999999999995
0,0.16508,61.875,0.009999999999999995
0,0.1647,63.75,0.009999999999999995
0,0.16518,65.625,0.010000000000000009
0,0.16609000000000002,67.5,0.009999999999999995
0,0.16620999999999997,69.375,0.009999999999999995
0,0.16888,71.25,0.009999999999999995
0,0.17096,73.125,0.009999999999999995
0,0.1717,75.0,0.009999999999999995
