time_elapsed_(s),coefficient_of_friction,sliding_distance_(mm),standard_deviations
0,0.1832,0.0,0.01999999999999999
0,0.21344,1.875,0.020000000000000004
0,0.21399999999999997,3.75,0.020000000000000004
0,0.16829000000000002,5.625,0.020000000000000004
0,0.20092,7.5,0.01999999999999999
0,0.21336999999999998,9.375,0.01999999999999999
0,0.2154,11.25,0.020000000000000004
0,0.20335999999999999,13.125,0.020000000000000004
0,0.21586999999999998,15.0,0.019999999999999976
0,0.23699,16.875,0.01999999999999999
0,0.23951999999999996,18.75,0.01999999999999999
0,0.21664000000000003,20.625,0.020000000000000004
0,0.20140000000000002,22.5,0.020000000000000004
0,0.19174000000000002,24.375,0.020000000000000004
0,0.18813,26.25,0.020000000000000004
0,0.18991,28.125,0.020000000000000004
0,0.18264,30.0,0.020000000000000004
0,0.17702000000000004,31.875,0.020000000000000004
0,0.1875,33.75,0.01999999999999999
0,0.20547,35.625,0.01999999999999999
0,0.20907,37.5,0.019999999999999976
0,0.19216,39.375,0.020000000000000004
0,0.18327000000000002,41.25,0.020000000000000004
0,0.1949,43.125,0.020000000000000004
0,0.19512,45.0,0.01999999999999999
0,0.21268,46.875,0.020000000000000018
0,0.27634000000000003,48.75,0.01999999999999999
0,0.34193999999999997,50.625,0.01999999999999999
0,0.42582000000000003,52.5,0.020000000000000018
0,0.56496,54.375,0.020000000000000018
0,0.7050899999999999,56.25,0.020000000000000018
0,0.8946799999999998,58.125,0.020000000000000018
0,1.03188,60.0,0.020000000000000018
