time_elapsed_(s),x_force_(N),y_force_(N),z_force_(N),delta_t_(s)_x,x_position_(mm),y_position_(mm),z_position_(mm),delta_t_(s)_y,delta_x_(m),speed_x_(mm_s^-1),delta_y_(m),speed_y_(mm_s^-1),delta_z_(m),speed_z_(mm_s^-1),sliding_distance_(mm),coefficient_of_friction
0.0,,,,,692.6308324604748,170.69269700325964,285.1041000405524,0.04800000000068394,-0.0008881196942062131,18.502493629032468,-1.801615297464254e-05,0.3753365202997048,-0.00010694790097925955,2.228081270369493,0.0,0.11776805937053896
0.026019999999334686,0.22296431660652,-0.8677995800971999,7.3687176704407005,0.036009999999805586,692.4337144297762,,,,,20.553286643314536,,0.3838986287555534,,2.1677347875803106,0.5347965184453698,0.11776805937053896
0.03000999999949272,0.22170469164848,-0.8637849688529999,7.220043182373001,0.003990000000158034,692.2365963990775,,,,,22.604079657596607,,0.392460737211402,,2.107388304791128,0.6249867962827524,0.11963709177832106
0.0319999999992433,0.22086861729621998,-0.8606301546096801,7.1638088226318,0.00198999999975058,692.0394783683789,,,,,24.654872671878678,,0.4010228456672506,,2.0470418220019457,0.6740499928936416,0.12013583498917361
0.033999999999650754,0.22117552161217,-0.8631911277770999,7.1156764030457005,0.0020000000004074536,691.8423603376802,,,,,26.705665686160746,,0.40958495412309914,,1.9866953392127633,0.7274613242768444,0.1213083730743617
0.03599999999914871,0.22254361212254004,-0.86455494165421,7.0761933326721005,0.001999999999497959,691.6452423069816,,,,,28.756458700442813,,0.41814706257894774,,1.926348856423581,0.7849742416632931,0.12217797069822825
0.039999999999054126,0.22437343001366,-0.8657241463661199,7.0389080047607,0.0039999999999054126,691.4481242762829,,,,,30.807251714724885,,0.42670917103479633,,1.8660023736343985,0.9082032485192787,0.12299125741955931
0.04199999999946158,0.22450906038284,-0.8720030784606899,7.0326600074767995,0.0020000000004074536,691.2510062455843,,,,,32.858044729006956,,0.4352712794906449,,1.805655890845216,0.9739193379906808,0.12399335067152635
0.04399999999895954,0.22700563073158,-0.87673038244247,7.0444011688232,0.001999999999497959,691.0538882148857,,,,,34.90883774328903,,0.4438333879464935,,1.7453094080560336,1.0437370134597332,0.12445775892529583
0.047999999997955456,0.22895914316177002,-0.88568717241287,7.072692155838,,690.856770184187,170.67098201943327,285.18497826096177,0.047999999997955456,-0.0017740622762878466,36.95963075757109,-2.171498382638748e-05,0.4523954964023421,8.087822040936388e-05,1.6849629252668512,1.191575536452907,0.12522325252236546
0.04799999999886495,0.23091265559196,-0.8946439623832699,7.1009831428528,0.0039999999999054126,690.6962461734747,,,,,38.250568160767216,,0.43358667961783465,,1.6010409368597351,1.1915755364876957,0.1259887461194351
0.05000999999901978,0.23482158780098003,-0.90349245071411,7.1390819549561,0.0020100000001548324,690.5357221627625,,,,,39.54150556396334,,0.4147778628333271,,1.517118948452619,1.2710539626773842,0.12655583118595334
0.05199999999967986,0.2380033582449,-0.91644233465195,7.1931414604187,0.001990000000660075,690.3751981520502,,,,,40.832442967159466,,0.39596904604881966,,1.4331969600455028,1.3523105242089841,0.12740502042046667
0.05399999999917782,0.24229125678539,-0.9326719045639,7.2523050308228,0.001999999999497959,690.2146741413379,,,,,42.1233803703556,,0.3771602292643122,,1.3492749716383867,1.4365572849285477,0.12860351303481854
0.06199999999898864,0.26018679141998,-1.0031512975693,7.539975643158,0.007999999999810825,690.0541501306257,,,,,43.41431777355172,,0.35835141247980473,,1.2653529832312707,1.7838718271087486,0.133044368449597
0.0639999999993961,0.2657128572464,-1.0256807804108,7.6219921112061,0.0020000000004074536,689.8936261199134,,,,,44.70525517674785,,0.3395425956952972,,1.1814309948241544,1.8732823374804597,0.13456859643069044
0.06800999999904889,0.27602714300156,-1.073779463768,7.7873711585999,0.004009999999652791,689.7331021092011,,,,,45.99619257994397,,0.32073377891078975,,1.0975090064170383,2.0577270697100647,0.13788728466886843
0.07000999999945634,0.28192993998528004,-1.0921808481216,7.867753028869599,0.0020000000004074536,689.5725780984889,,,,,47.2871299831401,,0.3019249621262823,,1.0135870180099222,2.152301329695612,0.13881737824179255
0.0720099999989543,0.28590437769890004,-1.117773771286,7.9479689598083,0.001999999999497959,689.4120540877766,,,,,48.57806738633623,,0.28311614534177476,,0.9296650296028062,2.2494574644438963,0.1406364037074649
0.07599999999911233,0.29740908741951,-1.1690273284911998,8.097134590148901,0.003990000000158034,689.2515300770643,,,,,49.869004789532354,,0.2643073285572673,,0.84574304119569,2.4484347935620114,0.14437543497343575
0.07799999999951979,0.30105543136596996,-1.1945869922638002,8.164966583252,0.0020000000004074536,689.0910060663521,,,,,51.15994219272848,,0.2454985117727598,,0.7618210527885738,2.550754677968314,0.1463064153519183
0.07999999999901775,0.30502879619598,-1.2193048000336,8.219139099121099,0.001999999999497959,688.9304820556398,,,,,52.450879595924604,,0.2266896949882523,,0.6778990643814577,2.6556564371338305,0.14834945428335486
0.08200999999917258,0.30990377068520003,-1.2431578636168998,8.2710266113281,0.0020100000001548324,688.7699580449275,,,,,53.74181699912073,,0.20788087820374485,,0.5939770759743417,2.763677489310384,0.15030272806936149
0.08599999999933061,0.31764104962349,-1.2949922084808,8.348710060119599,0.003990000000158034,688.6094340342153,,,,,55.032754402316854,,0.18907206141923738,,0.5100550875672254,2.9832581793843254,0.15511284966844913
0.08799999999882857,0.32053497433662004,-1.3162626028061002,8.368541717529299,0.001999999999497959,688.448910023503,,,,,56.32369180551298,,0.17026324463472986,,0.42613309916010933,3.0959055629670744,0.15728697391195048
